Report ID,Report Version,Make,Model,Model Year,ADS Equipped?,Automation System Engaged?,Incident Date,Incident Time (24:00),City,State,Roadway Type,Roadway Surface,Posted Speed Limit (MPH),Lighting,Crash With,Highest Injury Severity Alleged,SV Pre-Crash Movement,Weather,SV Contact Area,Country
30270-10455,1,Jaguar,I-Pace,2024.0,Yes,ADS,2025-03-21,15:17:00,Los Angeles,CA ,Street,Dry,25.0,Daylight,SUV,No Injuries Reported,Parked,Clear,Back,US
30270-10470,1,Jaguar,I-PACE,2024.0,Yes,ADS,2025-04-21,13:45:00,San Francisco,CA ,Street,Dry,20.0,Daylight,Passenger Car,No Injuries Reported,Stopped,Clear,Front,US
30270-10471,1,Jaguar,I-PACE,2021.0,Yes,ADS,2025-04-21,21:42:00,Tempe,AZ ,Intersection,Dry,40.0,Dark - Lighted,"Other, see Narrative",No Injuries Reported,Making Left Turn,Clear,Bottom,US
30270-10472,1,Jaguar,I-PACE,2024.0,Yes,ADS,2025-04-21,12:03:00,San Francisco,CA ,Intersection,Dry,25.0,Daylight,Passenger Car,No Injuries Reported,Proceeding Straight,Cloudy,"Back, Offside",US
30270-10487,1,Jaguar,I-Pace,2024.0,Yes,ADS,2025-03-21,17:20:00,San Francisco,CA ,Street,Dry,25.0,Daylight,SUV,No Injuries Reported,Stopped,Clear,Back,US
30270-10488,1,Jaguar,I-Pace,2024.0,Yes,ADS,2025-03-21,22:03:00,Inglewood,CA ,Street,Dry,40.0,Dark - Lighted,Passenger Car,No Injuries Reported,Stopped,Clear,Back,US
30270-10497,1,Jaguar,I-Pace,2021.0,Yes,ADS,2025-04-21,11:17:00,San Francisco,CA ,Street,Dry,25.0,Daylight,Other Fixed Object,No Injuries Reported,Proceeding Straight,Cloudy,Bottom,US
30270-10527,1,Jaguar,I-Pace,2021.0,Yes,ADS,2025-04-21,18:25:00,Phoenix,AZ ,Street,Dry,25.0,Daylight,Pickup Truck,No Injuries Reported,Parked,Cloudy,Front,US
30270-10528,1,Jaguar,I-Pace,2024.0,Yes,ADS,2025-04-21,11:29:00,San Francisco,CA ,Street,Dry,30.0,Daylight,SUV,No Injuries Reported,"Other, see Narrative",Clear,Nearside,US
30270-10555,1,Jaguar,I-PACE,2024.0,Yes,ADS,2025-04-21,14:14:00,San Francisco,CA ,Street,Dry,20.0,Daylight,Bus,No Injuries Reported,Parked,Cloudy,Nearside,US
30270-10556,1,Jaguar,I-Pace,2021.0,Yes,ADS,2025-04-21,13:36:00,Phoenix,AZ ,Parking Lot,Dry,15.0,Daylight,Heavy Truck,No Injuries Reported,Stopped,Clear,Front,US
30270-10557,1,Jaguar,I-Pace,2024.0,Yes,ADS,2025-04-21,13:09:00,Austin,TX ,Intersection,Dry,45.0,Daylight,Passenger Car,No Injuries Reported,Stopped,Clear,Back,US
30270-10558,1,Jaguar,I-Pace,2024.0,Yes,ADS,2025-04-21,14:32:00,Scottsdale,AZ ,Highway / Freeway,Dry,65.0,Daylight,"Other, see Narrative",No Injuries Reported,Proceeding Straight,Cloudy,Front,US
30270-10559,1,2024,I-PACE,2024.0,Yes,ADS,2025-04-21,11:19:00,Los Angeles,CA ,Street,Dry,25.0,Daylight,SUV,No Injuries Reported,Parked,Clear,Front,US
30270-10560,1,Jaguar,I-PACE,2024.0,Yes,ADS,2025-04-21,20:51:00,Culver City,CA ,Street,Dry,30.0,Dark - Lighted,SUV,No Injuries Reported,Proceeding Straight,Clear,Back,US
