Report ID,Report Version,Make,Model,Model Year,Mileage,ADS Equipped?,Automation System Engaged?,Incident Date,Incident Time (24:00),City,State,Roadway Type,Roadway Surface,Roadway Description,Posted Speed Limit (MPH),Lighting,Crash With,Highest Injury Severity Alleged,Property Damage?,SV Pre-Crash Movement,SV Precrash Speed (MPH),Within ODD?,CP Contact Area,Weather,SV Contact Area,Country
13781-4107,2,Tesla,Model 3,2020-01-01,33122.0,No,ADAS,2025-10-22,09:46:00,Trenton,NJ ,Highway / Freeway,Wet,No Unusual Conditions,65.0,Dark - Lighted,Other Fixed Object,Unknown,Yes,Proceeding Straight,27.0,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Missing,"Cloudy, Rain","Left, Front Left",US
13781-4118,2,Tesla,Model 3,2019-01-01,65324.0,No,ADAS,2025-10-22,11:07:00,Guyton,GA ,Unknown,Unknown,Unknown,55.0,Unknown,Unknown,Unknown,Yes,Proceeding Straight,54.0,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Missing,Missing,Missing,US
13781-4120,2,Tesla,Model Y,2022-01-01,26039.0,No,ADAS,2025-10-22,18:58:00,Whitney,TX ,Rural Road,Dry,No Unusual Conditions,60.0,Daylight,Unknown,Unknown,Yes,Proceeding Straight,61.0,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Missing,Clear,Missing,US
13781-4121,2,Tesla,Model 3,2021-01-01,33628.0,No,ADAS,2025-10-22,03:01:00,Acworth,GA ,Rural Road,Wet,No Unusual Conditions,55.0,Dark - Not Lighted,"Other, see Narrative",Unknown,Yes,Proceeding Straight,39.0,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Missing,"Cloudy, Rain","Rear Left, Left, Front Left, Rear, Top, Front, Rear Right, Right, Front Right, Bottom",US
13781-4122,2,Tesla,Model X,2016-01-01,37804.0,No,ADAS,2025-10-22,20:29:00,Fort Meyers,FL ,Highway / Freeway,Unknown,Unknown,70.0,Unknown,Unknown,Unknown,Yes,Proceeding Straight,75.0,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Missing,Missing,Missing,US
13781-4124,2,Tesla,Model 3,2022-01-01,13179.0,No,ADAS,2025-10-22,05:36:00,Stafford Township,NJ ,Highway / Freeway,Dry,No Unusual Conditions,65.0,Dark - Lighted,Animal,Unknown,Yes,Proceeding Straight,76.0,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Missing,Clear,"Front Left, Front, Front Right",US
13781-4125,2,Tesla,Model 3,2018-01-01,57946.0,No,ADAS,2025-10-22,05:39:00,Ocala,FL ,Intersection,Dry,No Unusual Conditions,35.0,Dark - Lighted,Pole / Tree,Unknown,Yes,Proceeding Straight,21.0,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Missing,Clear,"Front Left, Front, Front Right, Bottom",US
13781-4129,2,Tesla,Model Y,2021-01-01,19710.0,No,ADAS,2025-10-22,18:54:00,Poplarville,MS ,Highway / Freeway,Wet,No Unusual Conditions,70.0,Daylight,"Other, see Narrative",Unknown,Yes,Proceeding Straight,8.0,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Missing,"Cloudy, Rain","Rear Left, Left, Front Left, Rear, Front, Rear Right, Right, Front Right, Bottom",US
13781-4153,2,Tesla,Model Y,2020-01-01,50467.0,No,ADAS,2025-11-22,22:37:00,Sacramento,CA ,Highway / Freeway,Dry,"Other, see Narrative",65.0,Daylight,Other Fixed Object,Unknown,Yes,Proceeding Straight,21.0,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Missing,Clear,"Left, Front Left",US
13781-4155,2,Tesla,Model 3,2022-01-01,2651.0,No,ADAS,2025-11-22,02:28:00,Los Angeles,CA ,Highway / Freeway,Dry,Traffic Incident,55.0,Dark - Lighted,Passenger Car,Unknown,Yes,Proceeding Straight,42.0,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Left, Front Left",Clear,"Front Left, Front, Front Right",US
13781-4156,2,Tesla,Model Y,2020-01-01,33699.0,No,ADAS,2025-11-22,06:26:00,Midland,VA ,Rural Road,Dry,No Unusual Conditions,45.0,Dark - Not Lighted,Other Fixed Object,Unknown,Yes,Proceeding Straight,40.0,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Missing,Clear,"Front, Right, Front Right",US
